Project ID,Project Scope (1-10),Team Experience (1-10),Resource Allocation (1-10),Risk Assessment (1-10),Stakeholder Engagement (1-10),Success
1,7,4,8,5,7,1
2,3,7,8,5,4,1
3,8,3,6,5,2,1
4,6,2,5,1,10,1
5,9,1,10,3,7,1
6,9,3,5,3,7,0
7,9,7,2,4,9,1
8,2,10,9,10,5,1
9,4,7,8,3,1,1
10,2,8,4,2,6,1
11,10,4,6,2,10,1
12,2,10,4,8,7,1
13,9,8,5,2,5,1
14,10,9,9,1,9,0
15,9,8,1,8,8,0
16,3,1,8,3,3,0
17,5,10,7,10,9,1
18,7,9,8,2,1,1
19,7,7,8,5,3,1
20,8,6,3,1,3,0
21,3,1,5,10,7,0
22,7,9,10,10,3,0
23,7,1,4,4,5,0
24,7,4,7,3,6,1
25,2,10,9,5,6,1
26,4,10,7,9,7,1
27,1,1,9,9,4,0
28,9,3,7,6,8,0
29,9,5,1,3,10,1
30,8,6,8,9,4,0
31,1,10,4,7,2,0
32,1,5,1,8,1,0
33,1,2,2,6,7,0
34,1,1,3,2,5,1
35,10,6,7,4,7,0
36,8,1,6,8,5,1
37,2,6,6,1,9,1
38,6,3,4,4,3,1
39,3,3,4,7,4,0
40,1,8,7,2,8,0
41,9,9,2,7,10,0
42,7,10,9,4,1,1
43,1,5,5,7,9,0
44,3,3,3,4,8,1
45,8,1,8,4,1,1
46,4,6,8,4,3,1
47,9,3,9,2,2,1
48,6,3,9,4,1,1
49,1,5,4,8,8,0
50,3,1,1,3,6,0
51,6,6,6,3,6,1
52,2,5,1,1,5,1
53,3,4,3,1,1,1
54,5,6,3,9,5,1
55,1,5,3,1,4,0
56,5,7,1,3,2,0
57,10,6,10,3,8,1
58,8,2,6,7,2,0
59,10,2,10,1,8,0
60,9,6,7,10,7,1
61,3,2,9,8,10,0
62,9,4,4,1,8,1
63,3,7,2,2,7,0
64,6,3,9,10,6,1
65,10,6,1,4,10,1
66,6,5,1,8,5,1
67,5,7,4,6,4,1
68,3,7,8,4,2,1